#{"t_start": 1625075721.7780387, "env_id": null}
r,l,t
36.406036,564,121.035707
35.470512,237,121.035707
14.092147,237,121.035707
-5.0543427,282,121.290706
23.51364,282,121.290706
34.244366,362,121.381706
6.420441,362,121.381706
28.833023,257,121.747706
11.244555,257,121.747706
37.97362,378,122.206221
13.655236,378,122.206221
16.322702,333,122.206221
39.917625,333,122.206221
24.80027,69,122.778222
2.6902316,69,122.778222
20.986694,658,122.930221
67.14263,658,122.930221
15.929695,435,123.594264
41.546547,435,123.594264
35.737995,209,123.736264
7.389276,209,123.736264
36.598183,355,124.226265
13.561412,355,124.226265
23.280333,241,124.255264
15.300664,241,124.255264
33.96352,250,124.277835
13.387713,250,124.277835
31.435322,657,124.364779
44.463406,657,124.364779
7.311988,383,124.535778
30.000982,383,124.535778
14.127833,408,124.620299
44.04809,408,124.620299
26.120106,103,125.251297
5.843372,103,125.252298
35.39171,568,125.780297
24.468351,568,125.781298
-3.0102987,66,126.048298
5.029946,66,126.048298
46.171265,675,126.190298
36.855186,675,126.190298
22.076704,675,126.458297
19.76982,675,126.458297
5.8021593,283,128.540815
38.422165,283,128.540815
48.681683,324,128.584813
22.627625,324,128.584813
37.75438,675,128.643814
39.4729,675,128.643814
11.458243,208,128.903815
24.967064,208,128.903815
26.680971,357,128.949815
39.632572,357,128.949815
6.8672276,208,128.990816
27.169155,208,128.991815
2.9905972,216,129.447815
25.217043,216,129.447815
17.411364,675,129.447815
29.541828,675,129.447815
44.756817,248,129.780328
5.377262,248,129.780328
33.944717,406,130.039328
15.918064,406,130.039328
28.24955,675,130.115329
40.689224,675,130.115329
44.759804,304,130.373328
28.85046,304,130.373328
39.344547,342,130.409329
19.962673,342,130.410328
14.297402,483,130.928841
44.761425,483,130.928841
-3.7203968,77,131.12984
6.0784044,77,131.12984
28.103254,675,131.436842
58.777245,675,131.437841
17.271105,63,131.74684
3.3794522,63,131.74684
19.34682,438,131.921871
35.064754,438,131.921871
-7.963863,146,132.104869
17.929546,146,132.104869
27.278475,675,132.6609
20.504707,675,132.6609
53.311115,409,132.797902
18.434986,409,132.797902
36.407608,293,132.867901
12.472816,293,132.867901
15.76118,170,133.125937
7.557471,170,133.125937
39.489994,341,133.467455
24.850086,341,133.467455
-3.7142613,65,134.01497
