#{"t_start": 1625146166.3198357, "env_id": null}
r,l,t
6.4555182,279,127.736484
30.140997,279,127.736484
19.415718,452,127.802484
32.862892,452,127.802484
33.216003,219,127.905483
9.775008,219,127.905483
15.114436,435,127.933485
39.552437,435,127.933485
-2.3804622,73,128.223485
15.77943,73,128.223485
31.500557,316,128.482484
13.480087,316,128.482484
35.44257,675,128.571484
36.672108,675,128.571484
-2.9743776,66,128.770483
15.169204,66,128.770483
33.53328,126,128.990005
7.385658,126,128.990005
32.26166,267,129.876003
16.337965,267,129.876003
18.552784,675,129.919004
43.454826,675,129.919004
29.112339,675,130.522003
26.537504,675,130.522003
9.253752,467,130.701003
29.960161,467,130.701003
50.88723,675,130.764004
21.008446,675,130.765003
25.908905,65,130.837004
4.7779636,65,130.837004
32.190228,165,130.960004
7.022326,165,130.960004
31.729822,263,131.677003
13.97235,263,131.677003
34.142994,221,131.906003
9.8894415,221,131.906003
36.154434,675,131.928004
33.662144,675,131.928004
14.45094,370,132.327002
34.16373,370,132.327002
37.41174,298,132.402004
9.4372015,298,132.402004
16.16542,476,132.548005
33.140472,476,132.548005
69.637184,675,132.674003
64.122505,675,132.674003
34.427494,421,133.081003
33.30099,421,133.081003
25.132637,443,133.249004
41.027138,443,133.249004
48.47724,675,133.573002
32.494038,675,133.573002
-0.14003915,151,134.170005
19.461315,151,134.170005
30.648308,153,134.817003
7.8364267,153,134.817003
20.18446,475,134.997004
53.458107,475,134.997004
43.540867,411,135.135006
18.299732,411,135.136005
34.22539,675,135.161005
47.090397,675,135.161005
-0.44535014,194,135.272002
17.658506,194,135.272002
29.626108,245,135.318005
15.681196,245,135.318005
22.945808,675,135.360005
36.931072,675,135.360005
-0.9869283,215,135.511005
23.097143,215,135.511005
48.83589,346,135.698004
31.207657,346,135.698004
47.22609,675,135.990005
30.776041,675,135.990005
50.998573,675,136.075005
33.325527,675,136.075005
39.384212,675,136.176005
28.3142,675,136.176005
47.704746,495,136.222003
14.726268,495,136.222003
78.98649,628,136.260004
40.58832,628,136.260004
24.749136,675,136.303005
48.4926,675,136.303005
20.7397,424,137.059004
38.175953,424,137.059004
30.36741,139,137.764004
6.842817,139,137.764004
48.702965,365,138.113004
21.522331,365,138.113004
57.864265,675,138.313005
40.269016,675,138.313005
38.38354,574,138.483004
51.407806,574,138.483004
29.663067,275,139.071005
17.247808,275,139.072002
40.105495,260,139.373004
17.193697,260,139.373004
35.31948,294,139.686005
14.78501,294,139.686005
38.024017,273,139.988005
15.401924,273,139.988005
48.059944,445,140.158002
49.795174,445,140.158002
29.813501,273,140.189003
26.732473,273,140.189003
58.08388,561,140.203004
20.553661,561,140.203004
18.551483,275,140.293005
38.693985,275,140.294002
15.203672,355,140.505003
38.842037,355,140.505003
44.580147,314,140.733004
15.660752,314,140.733004
28.243359,675,140.765002
11.857696,675,140.765002
56.8658,673,140.810005
43.761944,673,140.810005
45.736515,408,140.823003
14.59498,408,140.823003
47.006073,675,140.962004
41.962074,675,140.962004
15.336731,277,141.783004
30.590363,277,141.783004
30.09583,353,150.34602
39.606167,353,150.34602
63.54054,613,150.43002
40.82116,613,150.43002
0.46799472,109,150.46702
8.694012,109,150.46702
45.233887,629,150.500018
45.751877,629,150.500018
38.231174,330,151.262538
14.8187475,330,151.262538
14.597797,103,151.467539
5.9725866,103,151.467539
0.4211053,176,151.497538
18.007868,176,151.497538
38.50955,407,152.211538
14.691365,407,152.211538
37.576557,675,152.253536
18.884832,675,152.253536
51.414234,344,152.253536
17.962198,344,152.253536
8.457342,229,152.345538
26.376854,229,152.345538
38.289124,312,152.399536
19.53649,312,152.399536
45.884502,333,152.399536
22.675205,333,152.399536
0.85225666,234,152.575536
12.061873,234,152.575536
30.821325,627,152.766538
49.55772,627,152.766538
40.142307,675,153.226538
70.109436,675,153.226538
31.756748,184,153.240539
10.615731,184,153.240539
59.252052,675,153.258537
34.540646,675,153.258537
59.884018,608,153.30354
32.767574,608,153.30354
15.023754,67,153.393538
5.419373,67,153.393538
31.46456,197,153.408538
10.75265,197,153.408538
17.046383,344,153.408538
48.518814,344,153.408538
34.01283,375,153.825538
16.547285,375,153.825538
54.091923,671,154.057539
38.490616,671,154.057539
46.109055,349,154.098537
16.882423,349,154.098537
-11.887925,85,154.527538
13.622458,85,154.527538
-0.8034231,208,154.560537
17.780663,208,154.560537
7.4545736,255,155.002538
30.715862,255,155.002538
16.612673,314,155.045538
31.812468,314,155.045538
6.8202653,231,155.753536
32.236267,231,155.753536
50.86462,675,156.656538
38.32285,675,156.657537
10.735984,261,157.242537
26.775745,261,157.242537
13.401331,374,157.955616
39.137478,374,157.955616
35.27992,258,158.091616
9.753657,258,158.091616
18.75184,659,158.248617
45.363503,659,158.248617
55.62053,675,158.263618
32.476295,675,158.264616
41.01562,245,158.379618
23.791124,245,158.379618
13.144867,300,158.441616
39.259357,300,158.442617
42.669277,675,158.574616
59.778908,675,158.574616
46.292183,675,158.795617
35.409397,675,158.795617
4.1031322,247,158.868618
